name,id,name_type,rec_class,mass,fall,year,rec_lat,rec_long,location_type
Dungannon,7747,Valid,Iron,13000.0,Found,1922.0,36.85,-82.45,Exact
Dutch Flat,7753,Valid,Iron,48.8,Found,2002.0,34.48333,-113.91667,Exact
Dwight,7756,Valid,Stony,4100.0,Found,1940.0,38.85,-96.58333,Exact
Eads,7759,Valid,Stony,4860.0,Found,1975.0,38.47,-102.82667,Exact
Eagle Station,7761,Valid,Stony_iron,36000.0,Found,1880.0,38.61667,-84.96667,Exact
Edmond,7767,Valid,Stony,4000.0,Found,1983.0,39.76667,-99.91667,Exact
Edmonson (a),7768,Valid,Stony,12000.0,Found,1955.0,34.28333,-101.83333,Exact
Edmonson (b),7769,Valid,Stony,14402.0,Found,1981.0,34.28333,-101.83333,Exact
Edmonton (Kentucky),7771,Valid,Iron,10200.0,Found,1942.0,37.03333,-85.63333,Exact
El Burro,7793,Valid,Iron,35900.0,Found,1939.0,29.33333,-101.83333,Exact
El Capitan,7794,Valid,Iron,27500.0,Found,1893.0,33.5,-105.5,Exact
El Carmen,7795,Valid,Stony,629.0,Found,1987.0,26.86667,-105.23333,Exact
El Mirage,7809,Valid,Iron,598.0,Found,1972.0,33.68333,-112.26667,Exact
El Mirage Dry Lake 001,7810,Valid,Stony,1.5,Found,2000.0,34.65433,-117.59638,Exact
El Mirage Dry Lake 002,7811,Valid,Stony,13.0,Found,2001.0,34.64667,-117.58108,Exact
El Mirage Dry Lake 003,53845,Valid,Stony,6.9,Found,2010.0,34.63432,-117.56217,Exact
El Mirage Dry Lake 004,54570,Valid,Stony,271.0,Found,2011.0,34.65783,-117.59892,Exact
El Paso,7812,Valid,Stony,276.0,Found,1950.0,31.78333,-106.23333,Exact
El Pozo,7814,Valid,Stony,460.0,Found,1998.0,26.93333,-105.4,Exact
El Rancho Grande,7816,Valid,Stony_iron,40.7,Found,1954.0,37.0,-105.0,Exact
Elba,7821,Valid,Stony,4175.0,Found,1966.0,39.83333,-103.21667,Exact
Elida (a),10014,Valid,Stony,936.8,Found,1968.0,33.78333,-103.57667,Exact
Elida (b),10015,Valid,Stony,537.8,Found,1968.0,33.91667,-103.51833,Exact
Elida (c),10016,Valid,Stony,385.5,Found,1968.0,33.79,-103.56333,Exact
Elkhart,10017,Valid,Stony,573.0,Found,1936.0,37.01667,-101.88333,Exact
Ellicott,10021,Valid,Iron,15700.0,Found,1960.0,38.80778,-104.56944,Exact
Ellis County,10022,Valid,Stony,4692.0,Found,1948.0,38.78333,-99.33333,Exact
Elm Creek,10024,Valid,Stony,7000.0,Found,1906.0,38.5,-96.2,Exact
Elton,10029,Valid,Iron,1900.0,Found,1936.0,33.71667,-100.83333,Exact
Elyria,10030,Valid,Iron,10900.0,Found,1971.0,38.28,-97.365,Exact
Emery,10031,Valid,Stony_iron,16700.0,Found,1962.0,43.56333,-97.58333,Exact
Emmitsburg,10034,Valid,Iron,450.0,Found,1854.0,39.71667,-77.3,Exact
Enigma,10036,Valid,Stony,94.0,Found,1967.0,31.33333,-82.31667,Exact
Enon,10037,Valid,Iron,763.0,Found,1883.0,39.86667,-83.95,Exact
Erie,10045,Valid,Stony,3300.0,Found,1965.0,40.03167,-105.05667,Exact
Escalón,10050,Valid,Stony,54.3,Found,1979.0,27.0,-104.0,Exact
Essex,10056,Valid,Stony,5000.0,Found,2002.0,34.61167,-115.03333,Exact
Estacado,10057,Valid,Stony,290000.0,Found,1883.0,33.9,-101.75,Exact
Etter,10062,Valid,Stony,450000.0,Found,1965.0,35.98333,-101.9,Exact
Euclid,10063,Valid,Stony,2500.0,Found,1970.0,47.95833,-96.7,Exact
Eunice,10064,Valid,Stony,2300.0,Found,1961.0,34.47,-101.75833,Exact
Eustis,10065,Valid,Stony,502.0,Found,1918.0,28.83333,-81.68333,Exact
Eva,10066,Valid,Stony,6700.0,Found,1965.0,36.81667,-101.90833,Exact
Fairburn,56565,Valid,Iron,445.0,Found,1907.0,43.603,-103.026,Exact
Fairfield,10069,Valid,Iron,1600.0,Found,1974.0,39.33333,-84.6,Exact
Fairview,10070,Valid,Iron,28800.0,Found,1986.0,34.10139,-102.65,Exact
Faith,10071,Valid,Stony,105000.0,Found,1952.0,45.33333,-102.08333,Exact
Falsey Draw,10072,Valid,Stony,4180.0,Found,1995.0,33.84333,-103.93667,Exact
Farley,10073,Valid,Stony,19400.0,Found,1936.0,36.33333,-104.05,Exact
Farnum,10076,Valid,Stony,4200.0,Found,1937.0,40.25,-100.23333,Exact
Faucett,10077,Valid,Stony,100000.0,Found,1966.0,39.61667,-94.86667,Exact
Felt,10083,Valid,Stony,5400.0,Found,1970.0,36.55,-102.78333,Exact
Felt (b),10084,Valid,Stony,5590.0,Found,1990.0,36.58333,-102.7,Exact
